planet_name,star_number_per_system,spectral_type,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_mass_earth_mass,planet_equil_temp_k,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,stellar_surf_grav,stellar_luminosity_solar_lum,planet_orbital_velocity,habitable_zone_main_seq
Kepler-176 d,1.0,KV,25.75223273692308,0.1600471428571428,2.592363636363636,8.459999999999999,525.8,5149.016666666666,0.8264862857142857,0.8335714285714285,4.503544444444445,0.4307827886452404,2.2825612037636285,0
Kepler-176 e,1.0,KV,51.1657774345,0.253185,1.4781666666666666,0.52075,418.6666666666667,5127.75,0.8188808,0.846,4.50965,0.4159475782885103,1.828273563049055,0
Kepler-1760 b,1.0,GV,38.326080565,0.21642,2.28995546,4.826934072090943,468.6,5355.5,0.8754000000000002,0.9212,4.531333333333333,0.5655917019527243,2.063494198862226,0
Kepler-1761 b,1.0,KV,4.043104773874999,0.03972,1.39109603,1.53590461223784,597.2,3830.571428571429,0.5023333333333334,0.5599999999999999,4.741125714285714,0.048744778950381,3.755470696426336,0
Kepler-1762 b,1.0,FV,29.539033922500003,0.20368,2.6983715216666666,6.593155442525491,722.6,6489.75,1.2728371428571428,1.291,4.3398875,2.578382818216344,2.5180474632160066,0
Kepler-1763 b,1.0,GV,1.4802856762857144,0.0257599999999999,1.0260855533333333,1.0340431094725877,1818.8,5908.567142857143,1.2609671428571432,1.026,4.256262857142857,1.7387057515380786,6.312127097811327,0
Kepler-1764 b,1.0,FV,70.46781970500001,0.35164,4.55527871,52.326782316791615,511.8,6364.505,1.1346666666666667,1.1596,4.3396425,1.8953305871717097,1.81626808471857,0
Kepler-1765 b,1.0,GV,10.41888410375,0.0911599999999999,2.820848095,7.173340222588993,853.4,5678.625,1.0583333333333331,0.946,4.40479,1.0449789932149631,3.2219470132848804,0
Kepler-1766 b,1.0,GV,105.0142413322222,0.42335,2.023863582857143,3.817195015733685,408.0,5835.635555555556,1.0714285714285714,0.9235,4.3380925,1.194452664437251,1.4772148057166392,0
Kepler-1767 b,1.0,GV,59.659368785,0.2772599999999999,2.9838317950000004,7.981255998650615,384.0,5287.195,0.7259928571428571,0.882,4.6202175,0.3695352381933652,1.7838801259812682,0
Kepler-1768 b,1.0,FV,15.13589683375,0.12536,2.493910563333333,5.676408765494173,887.4,6059.25,1.454734285714286,1.218,4.23797,2.559367702811289,3.11759098099549,0
Kepler-1769 b,1.0,FV,89.19343442777777,0.3998299999999999,4.465,49.66312218843933,471.4,6193.333333333333,1.1564714285714284,1.0905,4.337225,1.7654583857311834,1.651772116260097,0
Kepler-177 b,1.0,GV,36.856618625833335,0.219835,3.397727272727273,5.84,590.0,5927.181818181818,1.324,1.0302,4.350302000000001,1.94114875819438,2.165146752193123,0
Kepler-177 c,1.0,GV,49.411268245,0.267225,7.702636363636364,14.7,534.8,5927.181818181818,1.324,1.0302,4.350302000000001,1.94114875819438,1.963799810940896,0
Kepler-1770 b,1.0,GV,16.84189546875,0.12528,2.8952362566666667,7.537019113466654,695.4,5572.0,0.9991666666666664,0.9492857142857142,4.4428475,0.8633962440952795,2.7531671830921027,0
Kepler-1771 b,1.0,GV,88.6443008875,0.38466,4.05537256,38.63316412098232,390.2,5788.28,0.89,0.95975,4.515833333333334,0.7977521597780717,1.579848822220426,0
Kepler-1772 b,1.0,GV,3.215108147111112,0.0437849999999999,2.467157125714286,5.56126944917876,1653.0,5667.0,0.934,1.0438571428571428,4.0065100000000005,0.8072284373577016,4.883518537658089,0
Kepler-1773 b,1.0,FV,40.80958055888888,0.2431683333333333,3.50469499,10.835162592155443,607.4,6143.444444444444,1.2673333333333334,1.151,4.28816,2.0526708110030563,2.17600123101155,0
Kepler-1774 b,1.0,FV,59.77100076111112,0.3067266666666666,2.9495422128571427,7.807891514225611,520.8,6113.855555555555,1.127,1.095625,4.371382499999999,1.592202780371437,1.890297601198065,0
Kepler-1775 b,1.0,GV,85.65381194111112,0.3918916666666667,3.64762153,11.690109088097085,447.0,5978.82,1.647,1.0937142857142856,4.322005,3.109846569853898,1.6708748115230645,0
Kepler-1776 b,1.0,FV,35.011950398888885,0.21405,2.4623671757142858,5.540772836731883,610.4,6110.593333333333,1.1183040000000002,1.0661428571428573,4.3984000000000005,1.5643831669387285,2.2321587013299857,0
Kepler-1777 b,1.0,GV,12.18416611888889,0.1084683333333333,2.13189678,4.213623523575049,1076.4,5960.346666666667,1.04525,1.0623749999999998,4.187094999999999,1.2371326885496747,3.1301303359176567,0
Kepler-1778 b,1.0,FV,10.08745627375,0.09662,3.087776615,8.517794541522484,946.2,6212.75,1.08764,1.1386666666666665,4.4137,1.5812323995703572,3.4335214988372025,0
Kepler-1779 b,1.0,GV,16.34356759625,0.12296,2.687159475,6.541201662623185,663.0,5679.875,1.056,0.9836666666666668,4.50103,1.0412926397352933,2.8288963422413933,0
Kepler-178 b,1.0,GV,9.57667027508182,0.0843971428571428,2.718888888888889,6.68873167005093,873.8,5526.833333333333,1.0084285714285717,0.8718,4.402709,0.8513058282164716,3.2145452540015915,0
Kepler-178 c,1.0,GV,20.552761303836363,0.1404371428571428,2.852666666666666,7.327856433784525,677.6,5526.833333333333,1.0084285714285717,0.8718,4.402709,0.8513058282164716,2.491967784972099,0
Kepler-178 d,1.0,GV,96.677653658,0.3941428571428571,3.95,13.599861378527894,404.6,5536.727272727273,1.027,0.8718,4.390895555555556,0.8892897029575171,1.4874986699952288,0
Kepler-1780 b,1.0,GV,109.44492547625,0.4259199999999999,3.1960011116666664,9.09396233721243,330.8,5452.18,0.8453333333333334,0.879,4.5452900000000005,0.5665347846990235,1.4368300576943147,0
Kepler-1781 b,1.0,GV,4.8875330662500005,0.0566,2.4718183816666666,5.581249782784808,977.0,5446.125,0.9486,1.047,4.530825,0.710242262188096,4.3016998985614725,0
Kepler-1782 b,1.0,KV,5.756240885888889,0.0577916666666666,2.34918205,5.066892381145843,809.4,4943.333333333333,0.7373348000000001,0.7907500000000001,4.560665,0.2912721079178129,3.699661367278796,0
Kepler-1783 b,1.0,KIV,8.277435829,0.0769916666666666,1.31946731,1.433897889322612,1087.6,5128.448888888889,1.784166666666667,0.8870000000000001,4.0667025,1.975626390744604,3.3948057833600305,0
Kepler-1784 b,1.0,GV,13.59053376375,0.10656,2.833227481666667,7.233271170962183,717.2,5441.0,0.9719651428571427,0.8870000000000001,4.4242725,0.7428585635440289,2.885623645126858,0
Kepler-1785 b,1.0,GV,19.58559567,0.1392783333333333,2.70422447,6.620353853416658,669.0,5808.777777777777,0.9825,0.9176666666666669,4.4602775,0.9860388290296532,2.5672944487076754,0
Kepler-1786 b,1.0,GV,78.54607815888889,0.36382,2.9015797542857142,7.568426076463909,445.8,5885.548888888889,1.397,1.04475,4.35659,2.1010217507621123,1.694875840559693,0
Kepler-1787 b,1.0,GV,39.3136724875,0.2278,2.228163635,4.582468157121853,541.0,5998.125,0.925,1.0171428571428571,4.5217025,0.9936544092832336,2.113436000256514,0
